time_str,wse,width,geoid_hght,node_q,node_q_b,time,time_original,wse_corrected,expected_width,residual,dA,total_lag_h,time_at_station,slope,q_weis,Q_calc,v_actual
2023-09-03T08:56:23Z,1036.31198,418.224855,-13.2377853,1,8,2023-09-03,2023-09-03 08:56:23,1049.5497653,400.1687287269997,18.056126273000302,45.41979205863603,0.0,2023-09-03 08:56:23,0.0002238611421526,1456.58,1784.094555486374,0.5889636829260056
2023-10-15T02:26:30Z,1036.47652,422.26441,-13.237953,0,0,2023-10-15,2023-10-15 02:26:30,1049.714473,404.2188910700024,18.04551892999757,111.66420944125882,0.0,2023-10-15 02:26:30,0.0001873372390911,1791.422,1681.1863738477587,0.5431145996991567
2023-11-04T23:11:36Z,1036.49878,408.386645,-13.2372692,0,0,2023-11-04,2023-11-04 23:11:36,1049.7360491999998,404.7494498279957,3.637195172004283,120.39144079961912,0.0,2023-11-04 23:11:36,0.0002185424733574,1713.709,1865.4554668809274,0.6009492365241372
2024-01-06T13:26:51Z,1036.19795,431.695154,-13.2379151,0,0,2024-01-06,2024-01-06 13:26:51,1049.4358651,397.36792280900045,34.327231190999555,0.0,0.0,2024-01-06 13:26:51,0.0001387112494407,1519.656,1340.8215025668903,0.4493685891322413
2024-02-17T06:57:02Z,1036.85197,412.178997,-13.2375312,0,0,2024-02-17,2024-02-17 06:57:02,1050.0895011999999,413.44083450799735,-1.2618375079973703,264.9869369892068,0.0,2024-02-17 06:57:02,0.0002186000819761,1932.129,2000.4171091152534,0.6157446780477127
2024-03-09T03:42:05Z,1036.95778,436.170131,-13.2374681,1,8,2024-03-09,2024-03-09 03:42:05,1050.1952480999998,416.0411507789977,20.128980221002337,308.8445112641737,0.0,2024-03-09 03:42:05,0.0002069236923451,2113.433,1916.578100256311,0.5820804263879443
2024-03-30T00:27:09Z,1037.09262,413.724732,-13.2373063,0,0,2024-03-30,2024-03-30 00:27:09,1050.3299263,419.35288771699925,-5.628155716999231,365.09919396188167,0.0,2024-03-30 00:27:09,0.0002204286416729,2044.351,2107.724303416358,0.6293801261673959
2024-04-19T21:12:15Z,1037.7196,440.955461,-13.2379904,1,8,2024-04-19,2024-04-19 21:12:15,1050.9575903999998,434.7871479359965,6.1683130640035415,633.1557123379108,0.0,2024-04-19 21:12:15,0.0002235848952909,2174.537,2313.027948058635,0.6394975573364486
2024-06-21T11:27:29Z,1037.64406,440.602029,-13.2378062,1,8,2024-06-21,2024-06-21 11:27:29,1050.8818662,432.92508985800305,7.676939141996968,600.3023048194433,0.0,2024-06-21 11:27:29,0.0001918477648226,2164.866,2111.3756226465493,0.5890963298594272
2024-07-12T08:12:32Z,1037.7454,438.453385,-13.2377869,1,2,2024-07-12,2024-07-12 08:12:32,1050.9831869,435.4165658710008,3.036819128999241,644.2927970181943,0.0,2024-07-12 08:12:32,0.0002054129272258,2066.301,2236.8991266029116,0.6165512894141633
2024-08-02T04:57:36Z,1037.88855,445.773612,-13.2380162,0,0,2024-08-02,2024-08-02 04:57:36,1051.1265661999998,438.94226285799596,6.831349142004058,706.9752754241315,0.0,2024-08-02 04:57:36,0.0001862842478838,2172.262,2167.830663294341,0.5873661697560055
2024-08-23T01:42:40Z,1037.3397,405.485243,-13.2375439,1,8,2024-08-23,2024-08-23 01:42:40,1050.5772439,425.43442750100076,-19.94918450100073,469.56457961699783,0.0,2024-08-23 01:42:40,0.00017445335319,2179.722,2000.219833542416,0.5792106739772592
2024-09-12T22:27:47Z,1037.70051,439.720099,-13.2373879,1,8,2024-09-12,2024-09-12 22:27:47,1050.9378978999998,434.30290936099846,5.417189639001549,624.5984343612438,0.0,2024-09-12 22:27:47,0.0001980455657845,2075.331,2172.4008803397223,0.6020418588123206
2024-10-03T19:12:55Z,1037.37533,411.415221,-13.2376731,1,8,2024-10-03,2024-10-03 19:12:55,1050.6130031,426.3137462290033,-14.898525229003326,484.7934962640344,0.0,2024-10-03 19:12:55,0.000178925833119,1931.266,2020.952127169366,0.5826447970320181
2024-11-14T12:43:03Z,1037.03834,436.978422,-13.2377307,0,0,2024-11-14,2024-11-14 12:43:03,1050.2760707,418.02857851299996,18.949843487000066,342.55035331557207,0.0,2024-11-14 12:43:03,0.0001710287998056,2143.335,1770.0760252548798,0.532139179170446
2024-12-05T09:28:07Z,1037.44521,434.666127,-13.2378608,1,8,2024-12-05,2024-12-05 09:28:07,1050.6830708,428.03671097200277,6.629416027997252,514.7246820290378,0.0,2024-12-05 09:28:07,0.0001674992280081,2344.244,1912.1774442122742,0.5465683634356698
2025-01-16T02:58:16Z,1037.71525,427.829263,-13.2377343,1,8,2025-01-16,2025-01-16 02:58:16,1050.9529843,434.67388393700094,-6.8446209370009115,631.1533001085344,0.0,2025-01-16 02:58:16,0.0001922094815245,2260.948,2186.229308249001,0.6047755460461474
2025-04-09T13:58:34Z,1036.86355,456.091171,-13.2376597,1,8,2025-04-09,2025-04-09 13:58:34,1050.1012097,413.7287465230038,42.36242447699618,269.8293945090278,0.0,2025-04-09 13:58:34,0.0001871948177326,,1734.6420259401316,0.5331422688430002
2025-04-30T10:43:39Z,1037.28208,447.884727,-13.2378741,0,0,2025-04-30,2025-04-30 10:43:39,1050.5199541,424.02567131899923,23.85905568100077,445.2318800322936,0.0,2025-04-30 10:43:39,0.0001806768687246,,1882.6822110497067,0.5490435106328269
